Local time,Open,High,Low,Close,Volume
03.09.2018 03:11:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:12:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:13:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:14:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:15:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:16:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:17:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:18:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:19:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:20:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:21:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:22:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:23:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:24:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:25:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:26:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:27:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:28:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:29:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:30:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:31:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:32:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:33:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:34:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:35:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:36:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:37:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:38:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:39:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:40:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:41:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:42:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:43:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:44:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:45:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:46:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:47:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:48:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:49:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:50:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:51:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:52:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:53:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:54:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:55:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:56:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:57:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:58:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 03:59:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 04:00:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 04:01:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 04:02:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 04:03:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 04:04:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 04:05:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 04:06:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 04:07:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
03.09.2018 04:08:00.000 GMT-0700,175.627,175.627,175.627,175.627,0
